DATA: 4410 x 16
Ep!
Feature 0
0.105354	rho[14][15]
0.0635468	rho[14][9]
0.0608695	rho[14][12]
-0.0588189	rho[14][6]
0.0552861	rho[14][13]
0.0345034	rho[14][2]
0.0171779	rho[14][1]
-0.00784536	rho[14][4]

Feature 15
-0.205236	rho[15][5]
-0.176854	rho[15][3]
0.171253	rho[15][13]
0.154657	rho[15][0]
0.105354	rho[15][14]
-0.0966205	rho[15][6]
-0.0793115	rho[15][9]
0.0729982	rho[15][7]
-0.0709213	rho[15][8]
0.0514372	rho[15][2]
-0.0372988	rho[15][11]
0.036899	rho[15][4]
-0.0157714	rho[15][1]
-0.0143662	rho[15][10]
0.00655433	rho[15][12]

